Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cc1,TDK,C1608C0G1H122K080AA,1,0.03,4.68,Cap: 1.2 nF  Total Derated Cap: 1.2 nF  ESR: 0 Ω  
Cc2,Samsung Electro-Mechanics,CL21C130JBANNNC,1,0.01,6.75,Cap: 13 pF  Total Derated Cap: 13 pF  ESR: 0 Ω  
Cc3,Samsung Electro-Mechanics,CL05C561JB5NNNC,1,0.01,3,Cap: 560 pF  Total Derated Cap: 560 pF  ESR: 0 Ω  
Cf,MuRata,GRM155R61C104KA88D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  ESR: 1 mΩ  
Cin,TDK,C2012X6S1C106K085AC,1,0.07,6.75,Cap: 10 µF  Total Derated Cap: 6.9 µF  ESR: 2.82 mΩ  
Cout,TDK,C2012X5R1A336M125AC,1,0.36,6.75,Cap: 33 µF  Total Derated Cap: 22 µF  ESR: 1.69 mΩ  
L1,Pulse Engineering,PA4332.222NLT,1,0.22,27.04,IDC: 4.3 A  L: 2.2 µH  DCR: 48 mΩ  
Rc1,Vishay-Dale,CRCW04026K04FKED,1,0.01,3,Tolerance: 1.0%  Resistance: 6.04 kΩ  Power: 63 mW  
Rc2,Vishay-Dale,CRCW040264R9FKED,1,0.01,3,Tolerance: 1.0%  Resistance: 64.9 Ω  Power: 63 mW  
Rf,Vishay-Dale,CRCW040210R5FKED,1,0.01,3,Tolerance: 1.0%  Resistance: 10.5 Ω  Power: 63 mW  
Rfadj,Vishay-Dale,CRCW040248K7FKED,1,0.01,3,Tolerance: 1.0%  Resistance: 48.7 kΩ  Power: 63 mW  
Rfbb,Vishay-Dale,CRCW04022K67FKED,1,0.01,3,Tolerance: 1.0%  Resistance: 2.67 kΩ  Power: 63 mW  
Rfbt,Susumu Co Ltd,RR1220P-123-D,1,0.01,6.75,Tolerance: 0.5%  Resistance: 12 kΩ  Power: 100 mW  
Rpgood,Yageo,RC0201FR-07105KL,1,0.01,2.08,Tolerance: 1.0%  Resistance: 105 kΩ  Power: 50 mW  
U1,Texas Instruments,LM21212MHX-2/NOPB,1,3.3,71.4,
