Designator,Manufacturer Part number, Quantity
"ADV7125","ADV7125BCPZ170",1
"ARCH_ID","209-4MS",1
"A_MUX","TS3A27518EPWR",1
"BOOT_MODE,PID","209-3MS",2
"C1,C34,C43","GRM155C80J106ME11D",3
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C13,C16,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31,C32,C33,C35,C38,C39,C40,C45,C53,C54,C55,C56,C57,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C80,C81,C87,C88,C89,C90,C91,C92,C94,C96,C98,C100,C106,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C137,C138,C167,C168,C169,C170,C171,C172","GRM033C71C104KE14D",91
"C11,C139,C140,C141","C2012X6S1C106K085AC",4
"C12,C41,C109,C110","CL21A226MOCLRNC",4
"C14,C15","GRM0335C1H160JA01D",2
"C17,C18,C99","GRM033R60J225ME47D",3
"C30,C36,C47,C48,C49,C50,C51,C58,C83,C84,C85,C86,C104","GRM033R60J474ME90D",13
"C37,C44,C93,C136","CC0201KRX5R8BB103",4
"C42,C46,C97,C173","CL03A105MO3NRNH",4
"C52","GRM21BR60J476ME15L",1
"C59,C74,C75,C76,C78,C79,C82,C102","GRM155R60J475ME87D",8
"C73,C77,C101","GRM21BR60J107ME15L",3
"C108","GRM155R61A475MEAAD",1
"C111","CL05B103KP5NNNC",1
"C112","CL05B392KB5NNNC",1
"C135","GRM0335C1H121JA01D",1
"C142","GRM155R61C104KA88D",1
"C143","C1608C0G1H122K080AA",1
"C144","CL21C130JBANNNC",1
"C145","CL05C561JB5NNNC",1
"C146","C2012X5R1A336M125AC",1
"C177","GRM035R60J475ME15D",1
"CARTRIDGE","5650118-1",1
"D1,D2","BAT54SFILMY",2
"DBG0,DBG1,DBG2","LTST-C191KFKT",3
"FPGA_1_0","TLV62095RGTR",1
"FPGA_CFG","MT25QU128ABA1ESE-0SIT TR",1
"FPGA_DONE,LD_0P,LD_1P,LD_2P,LD_3P,LD_4P","SML-D12D1WT86",6
"FPGA_PROG","SBH21-NBPN-D07-ST-BK",1
"IO_EXP","MCP23S17T-E/SS",1
"J1","12401598E4#2A",1
"L1","ASPI-0530LR-1R5M-T2",1
"L2","PA4332.222NLT",1
"L3","DFE18SANR47MG0L",1
"LD_0ACT,LD_1ACT,LD_2ACT,LD_3ACT,LD_4ACT","150060RS75000",5
"LD_7DBG0,LD_7DBG1,LD_7DBG2","ASMT-RA45-AP932",3
"LD_AUX,LD_INT,LD_V33","LTST-S270GKT",3
"LVL_AHI,LVL_ALO,LVL_D","SN74LVC8T245PWR",3
"MEM_ID","209-2MS",1
"MUX-HI,MUX-LO","QS3VH257S1G",2
"OSC1","SIT8008BI-23-33S-50.000000G",1
"POWER","PJ-102AH",1
"PSW","NCP380HSNAJAAT1G",1
"Q1,Q2","BSS138",2
"Q3,Q4","BC817-16LT3G",2
"R1,R24,R53,R72","RC0201JR-070RL",4
"R2,R3,R4,R94,R99,R102,R105,R108,R109,R110,R111","RMCF0402JT130R",11
"R6,R7,R8,R9,R14,R15,R16,R17,R18,R125,R126,R127","RMCF0201JT47K0",12
"R10","RC0201FR-07560RL",1
"R11,R12,R13,R50,R51,R58,R122,R123,R124,R128","RC0201JR-071KL",10
"R19,R20,R22","RC0201FR-0775RL",3
"R21,R26,R27,R52,R60,R73,R74,R75,R91,R92,R93","RMCF0201JT33R0",11
"R23,R69,R70,R71,R78,R79","RC0603J472CS",6
"R36,R37,R38,R39,R40,R41","RC0402JR-0747KL",6
"R54,R55,R57","RC0603F242CS",3
"R56","CRCW04021M00FKED",1
"R59,R61,R62,R63,R64,R65,R82,R83,R84,R85,R88,R89,R90,R120,R121","ERJ-1GNJ103C",15
"R66","ERJ-1GNJ201C",1
"R67,R77","RMCF0402JT150R",2
"R68","ERJ-2GEJ101X",1
"R76,R80","RMCF0402JT330R",2
"R87,R98,R101,R104,R107,R112","RMCF0402FT59R0",6
"R113,R114,R115,R116,R117,R118","CRCW020149R9FNED",6
"R119","RMCF0201JT100K",1
"R129","ERJ-2RKF4993X",1
"R130","RMCF0402FT40K2",1
"R131","RMCF0402JT160K",1
"R133","CRCW040210R5FKED",1
"R134","CRCW040248K7FKED",1
"R135","ERJ-6ENF6041V",1
"R136","RR1220P-123-D",1
"R137","CRCW04022K67FKED",1
"R138","CRCW040264R9FKED",1
"R139","RC0201FR-07105KL",1
"RESET_S7,RESET_XIO","1825910-6",2
"SDRAM","IS42S32160F-7TLI",1
"SD_SLOT","5025700893",1
"SERIAL0","D09P33E4GX00LF",1
"SERIAL_BUF0","MAX3232ECDR",1
"SLOT0,SLOT1,SLOT2,SLOT3,SLOT4","10018783-10201TLF",5
"U$5,U$6,U$7,U$8","74LVCH1T45GS,132",4
"USB","UX60-MB-5ST",1
"USB_ESD","PUSB2X4YH",1
"VGA","ICD15S13E4GX00LF",1
"VREG_18","TPS62087RLTR",1
"VREG_33","LM21212MHX-2/NOPB",1
"VREG_MON","TPS3808G33DBVR",1
"VREG_VGA","AD1580ARTZ-REEL7",1
"XC7S25","XC7S25-2FTGB196I",1
"XIO","STM32H743XIH6",1
"XIO-SWD","FTSH-105-01-LM-DV-K-P-TR",1
"Y2","FA-238 25.0000MB-K3",1
