"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DATASHEETURL";"DESCRIPTION";"FREQUENCY";"IMAX";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MKTG_PACKAGE";"MP";"MPN";"NOSTUFF";"NSID";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEPREFIX";"USE";"VALUE";"VENDOR";
"ADV7125";"ADV7125";"ADV7125";"QFN50P700X700X100-49T495";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ADV7125BCPZ170";"";"";
"ARCH_ID";"209-4MS";"SW_DIP-4";"EDG-04";"DIP SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"209-4MS";"";"";
"A_MUX";"TS3A27518EPWR";"TS3A27518E";"TSSOP24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TS3A27518EPWR";"";"";
"BOOT_MODE";"209-3MS";"SW_DIP-3";"EDG-03";"DIP SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"209-3MS";"";"";
"C1";"10uF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM155C80J106ME11D";"";"";
"C2";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C3";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C4";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C5";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C6";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C7";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C8";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C9";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C10";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C11";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"C2012X6S1C106K085AC";"";"";
"C12";"22uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"CL21A226MOCLRNC";"";"";
"C13";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";"";
"C14";"16pF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"GRM0335C1H160JA01D";"";"";
