Designator,Manufacturer Part number, Quantity
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C57,C60,C63,C65,C67,C68,C71,C72","GRM033C71C104KE14D",30
"CARTRIDGE","5650118-1",1
"JP1,JP2,JP3","NPTC152KFMS-RC",3
"LVL_AHI,LVL_ALO,LVL_D","SN74LVC8T245PWR",3
"R1,R6,R7,R8,R9,R11,R12,R14","RC0201FR-0749R9L",8
"R2,R3,R4,R5,R10,R13,R19,R21,R22,R25,R26,R29,R31,R32","ERJ-1GNJ103C",14
"R15","RC0201FR-0727KL",1
"R33","RC0201JR-07820RL",1
"U$1","M55-7008042R",2
"U$3","1888019-4",1
"U$4,U$5,U$6,U$8,U$9,U$14,U$15,U$16,U$17","74LVCH1T45GS,132",9
