"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"USE";"VALUE";
"C1";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C2";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C3";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C4";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C5";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C6";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C7";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C8";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C9";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C10";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C11";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C12";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C13";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C14";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C15";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C16";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C17";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C18";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C19";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C20";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C21";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C22";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C57";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C60";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C63";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C65";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C67";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C68";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C71";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"C72";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";"GRM033C71C104KE14D";"";
"CARTRIDGE";"5650118-1";"A8_CART";"A8_CART";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5650118-1";"";
"CN1";"";"HDMI_MOLEX_47151-0001";"HDMI_MOLEX_47151-0001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0471510001";"";
"D1";"RB751V40,115";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"RB751V40,115";"";
"D2";"RED-0805";"SMD-LED-CLEAR-RED(0805)";"LED-0805";"304090046";"";"";"";"";"";"";"";"";"17-215SURC/S530-A2/TR8";"";"";"";"";"150080RS75000";"RED-0805";
"IC1";"SN74LVC2G07DCKR";"SN74LVC2G07DCKR";"SOT65P210X110X6N";"Dual Buffer/Driver with Open-Drain Output";"";"";"Dual Buffer/Driver with Open-Drain Output";"mm";"Texas Instruments";"SN74LVC2G07DCKR";"595-SN74LVC2G07DCKR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74LVC2G07DCKR";"";"";"";"";"";"SN74LVC2G07DCKR";"";
"IC2";"SN74LVC1G07MDCKREP";"SN74LVC1G07MDCKREP";"SOT65P210X110-5N";"Enhanced Product Single Buffer/Driver With Open-Drain Output";"";"";"Enhanced Product Single Buffer/Driver With Open-Drain Output";"1.1mm";"Texas Instruments";"SN74LVC1G07MDCKREP";"595-SN74LVC07MDCKREP";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74LVC07MDCKREP";"";"";"";"";"";"SN74LVC1G07MDCKREP";"";
"IC3";"NL17SZ126XV5T2G";"NL17SZ126XV5T2G";"SOTFL50P160X60-5N";"Source:  Datasheet";"70467362";"http://www.alliedelec.com/on-semiconductor-nl17sz126xv5t2g/70467362/";"";"0.6mm";"ON Semiconductor";"NL17SZ126XV5T2G";"863-NL17SZ126XV5T2G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-NL17SZ126XV5T2G";"";"";"8054342P";"http://uk.rs-online.com/web/p/products/8054342P";"";"NL17SZ126XV5T2G";"";
"IC4";"TPS2051BDBVR";"TPS2051BDBVR";"SOT95P280X145-5N";"TEXAS INSTRUMENTS - TPS2051BDBVR - CURRENT LIMITED POWER SWITCH, 5.5V SOT23-5, FULL REEL";"";"";"TEXAS INSTRUMENTS - TPS2051BDBVR - CURRENT LIMITED POWER SWITCH, 5.5V SOT23-5, FULL REEL";"1.45mm";"Texas Instruments";"TPS2051BDBVR";"595-TPS2051BDBVR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPS2051BDBVR";"";"";"";"";"";"TPS2051BDBVR";"";
"JP1";"";"PINHD-2X15_2.54-SMD";"2X15SMD";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"NPTC152KFMS-RC";"";
"JP2";"";"PINHD-2X15_2.54-SMD";"2X15SMD";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"NPTC152KFMS-RC";"";
"JP3";"";"PINHD-2X15_2.54-SMD";"2X15SMD";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"NPTC152KFMS-RC";"";
"LVL_AHI";"SN74LVC8T245";"SN74LVC8T245";"TSSOP24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SN74LVC8T245PWR";"";
