"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"NOSTUFF";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"USE";"VALUE";
"C1";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";
"C53";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";
"C55";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";
"C56";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";
"C81";"0.1uF";"C-EUC0201";"C0201";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"C";"GRM033C71C104KE14D";"";
"CN1";"";"HDMI_MOLEX_47151-0001";"HDMI_MOLEX_47151-0001";"";"";"";"";"";"";"";"";"";"";"";"";"0471510001";"";
"IC1";"STM32MP157AAA3";"STM32MP157AAA3";"BGA448C80P22X22_1800X1800X127";"STMICROELECTRONICS - STM32MP157AAA3 - MPU, 32BIT, CORTEX-A7/CORTEX-M4 , LFBGA";"STMICROELECTRONICS - STM32MP157AAA3 - MPU, 32BIT, CORTEX-A7/CORTEX-M4 , LFBGA";"1.27mm";"STMicroelectronics";"STM32MP157AAA3";"511-STM32MP157AAA3";"https://www.mouser.com/Search/Refine.aspx?Keyword=511-STM32MP157AAA3";"";"";"";"";"";"STM32MP157AAA3";"";
"IC2";"IS43TR16256AL-125KBL";"IS43TR16256AL-125KBL";"BGA96C80P9X16_900X1300X120";"SDRAM - DDR3L Memory IC 4Gb (256M x 16) Parallel 800MHz 20ns 96-TWBGA (9x13)";"SDRAM - DDR3L Memory IC 4Gb (256M x 16) Parallel 800MHz 20ns 96-TWBGA (9x13)";"1.2mm";"ISSI, Integrated Silicon Solution Inc";"IS43TR16256AL-125KBL";"";"";"";"";"";"";"";"IS43TR16256AL-125KBL";"";
"IC3";"TFP410PAP";"TFP410PAP";"QFP50P1200X1200X120-65N";"165-MHz TMDS DVI transmitter/serializer &  Panelbus integrated circuit";"165-MHz TMDS DVI transmitter/serializer &  Panelbus integrated circuit";"1.2mm";"Texas Instruments";"TFP410PAP";"595-TFP410PAP";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TFP410PAP";"";"";"5457906P";"http://uk.rs-online.com/web/p/products/5457906P";"";"TFP410PAP";"";
"IC4";"STPMIC1APQR";"STPMIC1APQR";"QFN40P500X600X80-45N";"STMICROELECTRONICS - STPMIC1APQR - POWER MANAGEMENT IC, WFQFN-44";"STMICROELECTRONICS - STPMIC1APQR - POWER MANAGEMENT IC, WFQFN-44";"0.8mm";"STMicroelectronics";"STPMIC1APQR";"511-STPMIC1APQR";"https://www.mouser.com/Search/Refine.aspx?Keyword=511-STPMIC1APQR";"";"";"";"";"";"STPMIC1APQR";"";
